route_id,service_id,trip_id,trip_headsign,wheelchair_accessible
RXr2,RX-036KM,RX_10_2_036KM_041003,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_041005,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_041007,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_041009,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_041011,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_041013,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_041015,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_041017,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_041019,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_041021,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_041023,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_041025,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_041027,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_041029,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_041031,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_051002,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_051004,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_051006,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_051008,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_051010,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_051012,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_051014,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_051016,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_051018,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_051020,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_051022,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_051024,"Gare Part  Dieu",1
